SiteID,CityID,SiteName,SiteAddress,isDeleted
1,3,Sede di Licata,"Contrada Contrafatto, 69 Appartamento 0",0
2,8,Sede di Niscemi,"Strada Giovanna, 72 Appartamento 63",0
3,17,Sede di Piazza Armerina,"Viale Carlo, 95 Piano 2",0
4,44,Sede di Alcamo,"Borgo Adriano, 783 Appartamento 6",0
5,12,Sede di Acireale,"Stretto Graziella, 28 Piano 8",0
6,9,Sede di San Cataldo,"Viale Ettore, 46 Piano 8",0
7,5,Sede di Sciacca,"Stretto Patrizia, 45",0
8,15,Sede di Misterbianco,"Borgo Cecilia, 614",0
9,23,Sede di Milazzo,"Viale Monti, 88 Appartamento 14",0
10,16,Sede di Enna,"Incrocio Nicola, 1",0
