GradeID,StudentID,ModuleID,GradeValue,isDeleted
1,1,90,NULL,0
2,1,91,NULL,0
3,1,92,NULL,0
4,1,93,NULL,0
5,1,94,NULL,0
6,1,95,NULL,0
7,1,96,NULL,0
8,1,97,NULL,0
9,1,98,NULL,0
10,1,99,NULL,0
11,2,42,NULL,0
12,2,43,7,0
13,2,44,NULL,0
14,2,45,8,0
15,2,46,6,0
16,2,47,4,0
17,2,48,NULL,0
18,2,49,NULL,0
19,2,50,NULL,0
20,2,51,7,0
21,2,52,NULL,0
22,2,53,NULL,0
23,2,54,NULL,0
24,3,34,NULL,0
25,3,35,9,0
26,3,36,8,0
27,3,37,NULL,0
28,3,38,NULL,0
29,3,39,NULL,0
30,3,40,NULL,0
31,3,41,NULL,0
32,4,1,7,0
33,4,2,9,0
34,4,3,9,0
35,4,4,5,0
36,4,5,9,0
37,4,6,10,0
38,4,7,7,0
39,4,8,10,0
40,4,9,6,0
41,4,10,10,0
42,4,11,5,0
43,4,12,10,0
44,4,13,4,0
45,5,14,10,0
46,5,15,10,0
47,5,16,8,0
48,5,17,4,0
49,5,18,6,0
50,5,19,6,0
51,5,20,10,0
52,5,21,9,0
53,5,22,7,0
54,5,23,10,0
55,5,24,9,0
56,5,25,8,0
57,5,26,6,0
58,6,80,5,0
59,6,81,NULL,0
60,6,82,NULL,0
61,6,83,NULL,0
62,6,84,NULL,0
63,6,85,9,0
64,6,86,NULL,0
65,6,87,4,0
66,6,88,NULL,0
67,6,89,NULL,0
68,7,55,9,0
69,7,56,4,0
70,7,57,7,0
71,7,58,9,0
72,7,59,9,0
73,7,60,6,0
74,7,61,8,0
75,7,62,6,0
76,8,27,5,0
77,8,28,8,0
78,8,29,5,0
79,8,30,5,0
80,8,31,6,0
81,8,32,6,0
82,8,33,4,0
83,9,80,NULL,0
84,9,81,NULL,0
85,9,82,NULL,0
86,9,83,NULL,0
87,9,84,NULL,0
88,9,85,7,0
89,9,86,5,0
90,9,87,NULL,0
91,9,88,NULL,0
92,9,89,NULL,0
93,10,34,NULL,0
94,10,35,NULL,0
95,10,36,10,0
96,10,37,6,0
97,10,38,NULL,0
98,10,39,NULL,0
99,10,40,NULL,0
100,10,41,NULL,0
101,11,42,10,0
102,11,43,NULL,0
103,11,44,NULL,0
104,11,45,NULL,0
105,11,46,NULL,0
106,11,47,9,0
107,11,48,NULL,0
108,11,49,10,0
109,11,50,NULL,0
110,11,51,NULL,0
111,11,52,NULL,0
112,11,53,NULL,0
113,11,54,5,0
114,12,42,6,0
115,12,43,NULL,0
116,12,44,NULL,0
117,12,45,NULL,0
118,12,46,NULL,0
119,12,47,NULL,0
120,12,48,7,0
121,12,49,NULL,0
122,12,50,NULL,0
123,12,51,NULL,0
124,12,52,NULL,0
125,12,53,7,0
126,12,54,NULL,0
127,13,42,NULL,0
128,13,43,NULL,0
129,13,44,7,0
130,13,45,5,0
131,13,46,NULL,0
132,13,47,6,0
133,13,48,NULL,0
134,13,49,NULL,0
135,13,50,NULL,0
136,13,51,NULL,0
137,13,52,10,0
138,13,53,6,0
139,13,54,NULL,0
140,14,80,5,0
141,14,81,NULL,0
142,14,82,NULL,0
143,14,83,4,0
144,14,84,NULL,0
145,14,85,8,0
146,14,86,NULL,0
147,14,87,4,0
148,14,88,NULL,0
149,14,89,NULL,0
150,15,55,8,0
151,15,56,4,0
152,15,57,8,0
153,15,58,10,0
154,15,59,5,0
155,15,60,4,0
156,15,61,6,0
157,15,62,10,0
158,16,27,4,0
159,16,28,7,0
160,16,29,4,0
161,16,30,5,0
162,16,31,4,0
163,16,32,7,0
164,16,33,9,0
165,17,72,5,0
166,17,73,9,0
167,17,74,6,0
168,17,75,9,0
169,17,76,10,0
170,17,77,10,0
171,17,78,5,0
172,17,79,9,0
173,18,90,7,0
174,18,91,NULL,0
175,18,92,NULL,0
176,18,93,NULL,0
177,18,94,NULL,0
178,18,95,6,0
179,18,96,NULL,0
180,18,97,6,0
181,18,98,NULL,0
182,18,99,9,0
183,19,14,9,0
184,19,15,4,0
185,19,16,9,0
186,19,17,6,0
187,19,18,9,0
188,19,19,8,0
189,19,20,9,0
190,19,21,10,0
191,19,22,4,0
192,19,23,6,0
193,19,24,5,0
194,19,25,4,0
195,19,26,5,0
196,20,14,4,0
197,20,15,5,0
198,20,16,10,0
199,20,17,7,0
200,20,18,10,0
201,20,19,4,0
202,20,20,4,0
203,20,21,9,0
204,20,22,4,0
205,20,23,10,0
206,20,24,8,0
207,20,25,7,0
208,20,26,8,0
209,21,90,NULL,0
210,21,91,NULL,0
211,21,92,NULL,0
212,21,93,NULL,0
213,21,94,7,0
214,21,95,NULL,0
215,21,96,NULL,0
216,21,97,NULL,0
217,21,98,NULL,0
218,21,99,4,0
219,22,80,NULL,0
220,22,81,NULL,0
221,22,82,6,0
222,22,83,NULL,0
223,22,84,NULL,0
224,22,85,4,0
225,22,86,NULL,0
226,22,87,NULL,0
227,22,88,NULL,0
228,22,89,8,0
229,23,90,8,0
230,23,91,NULL,0
231,23,92,9,0
232,23,93,NULL,0
233,23,94,NULL,0
234,23,95,NULL,0
235,23,96,NULL,0
236,23,97,NULL,0
237,23,98,4,0
238,23,99,NULL,0
239,24,63,NULL,0
240,24,64,NULL,0
241,24,65,NULL,0
242,24,66,NULL,0
243,24,67,NULL,0
244,24,68,NULL,0
245,24,69,NULL,0
246,24,70,NULL,0
247,24,71,NULL,0
248,25,27,9,0
249,25,28,6,0
250,25,29,10,0
251,25,30,6,0
252,25,31,8,0
253,25,32,4,0
254,25,33,7,0
255,26,27,6,0
256,26,28,7,0
257,26,29,7,0
258,26,30,6,0
259,26,31,9,0
260,26,32,7,0
261,26,33,10,0
262,27,42,NULL,0
263,27,43,NULL,0
264,27,44,8,0
265,27,45,NULL,0
266,27,46,NULL,0
267,27,47,NULL,0
268,27,48,NULL,0
269,27,49,NULL,0
270,27,50,NULL,0
271,27,51,NULL,0
272,27,52,NULL,0
273,27,53,NULL,0
274,27,54,NULL,0
275,28,63,NULL,0
276,28,64,10,0
277,28,65,NULL,0
278,28,66,NULL,0
279,28,67,NULL,0
280,28,68,NULL,0
281,28,69,NULL,0
282,28,70,NULL,0
283,28,71,NULL,0
284,29,34,NULL,0
285,29,35,NULL,0
286,29,36,8,0
287,29,37,NULL,0
288,29,38,10,0
289,29,39,NULL,0
290,29,40,NULL,0
291,29,41,8,0
292,30,90,NULL,0
293,30,91,7,0
294,30,92,NULL,0
295,30,93,NULL,0
296,30,94,10,0
297,30,95,NULL,0
298,30,96,NULL,0
299,30,97,NULL,0
300,30,98,4,0
301,30,99,8,0
302,31,1,4,0
303,31,2,7,0
304,31,3,8,0
305,31,4,8,0
306,31,5,10,0
307,31,6,8,0
308,31,7,8,0
309,31,8,7,0
310,31,9,4,0
311,31,10,6,0
312,31,11,10,0
313,31,12,7,0
314,31,13,4,0
315,32,72,5,0
316,32,73,6,0
317,32,74,9,0
318,32,75,9,0
319,32,76,9,0
320,32,77,4,0
321,32,78,8,0
322,32,79,4,0
323,33,63,NULL,0
324,33,64,NULL,0
325,33,65,NULL,0
326,33,66,8,0
327,33,67,8,0
328,33,68,NULL,0
329,33,69,NULL,0
330,33,70,5,0
331,33,71,NULL,0
332,34,55,8,0
333,34,56,10,0
334,34,57,5,0
335,34,58,6,0
336,34,59,9,0
337,34,60,4,0
338,34,61,7,0
339,34,62,9,0
340,35,63,NULL,0
341,35,64,6,0
342,35,65,NULL,0
343,35,66,NULL,0
344,35,67,NULL,0
345,35,68,NULL,0
346,35,69,NULL,0
347,35,70,NULL,0
348,35,71,NULL,0
349,36,80,9,0
350,36,81,NULL,0
351,36,82,7,0
352,36,83,NULL,0
353,36,84,NULL,0
354,36,85,5,0
355,36,86,NULL,0
356,36,87,NULL,0
357,36,88,NULL,0
358,36,89,NULL,0
359,37,27,7,0
360,37,28,6,0
361,37,29,8,0
362,37,30,6,0
363,37,31,9,0
364,37,32,7,0
365,37,33,9,0
366,38,80,6,0
