CourseID,CourseName,CourseNumber,SiteID,TutorID,StartDate,EndDate,isDeleted
1,Corso di Web Developer A.I.,29,5,1,2021-12-23,2023-12-23,0
2,Corso di Web Developer A.I.,30,5,3,2022-02-06,2024-02-06,0
3,Corso di Tecnico TBM (Tunnel Boring Machine),31,3,4,2023-02-17,2025-02-17,0
4,Corso di A.I. & Data Analysis,32,5,2,2024-07-19,NULL,0
5,Corso di Web Developer A.I.,33,9,1,2025-01-12,NULL,0
6,Corso di A.I. & Data Analysis,34,4,5,2022-02-08,2024-02-08,0
7,Corso di Digital Media Design,35,3,5,2024-06-20,NULL,0
8,Corso di A.I. & Data Analysis,36,1,4,2021-10-31,2023-10-31,0
9,Corso di Industry 4.0 & Smart Manufacturing,37,6,1,2024-01-29,NULL,0
10,Corso di Industry 4.0 & Smart Manufacturing,38,10,4,2024-08-28,NULL,0
