ModuleID,CourseID,TeacherID,SubjectID,ModuleHours,isDeleted
1,1,19,1,30,0
2,1,16,2,20,0
3,1,13,3,40,0
4,1,17,4,50,0
5,1,1,5,40,0
6,1,20,6,80,0
7,1,13,7,40,0
8,1,1,8,30,0
9,1,7,9,80,0
10,1,11,10,80,0
11,1,19,11,80,0
12,1,5,12,40,0
13,1,14,13,30,0
14,2,9,1,70,0
15,2,4,2,80,0
16,2,13,3,60,0
17,2,12,4,80,0
18,2,18,5,50,0
19,2,18,6,30,0
20,2,3,7,70,0
21,2,2,8,20,0
22,2,5,9,30,0
23,2,6,10,60,0
24,2,7,11,40,0
25,2,11,12,60,0
26,2,17,13,80,0
27,3,9,50,40,0
28,3,11,51,40,0
29,3,4,52,40,0
30,3,8,53,80,0
31,3,20,54,80,0
32,3,16,55,30,0
33,3,19,56,60,0
34,4,4,42,40,0
35,4,2,43,50,0
36,4,3,44,50,0
37,4,5,45,80,0
38,4,5,46,40,0
39,4,4,47,60,0
40,4,19,48,80,0
41,4,13,49,20,0
42,5,19,1,60,0
43,5,8,2,60,0
44,5,3,3,40,0
45,5,12,4,40,0
46,5,19,5,60,0
47,5,4,6,50,0
48,5,9,7,20,0
49,5,2,8,80,0
50,5,10,9,20,0
51,5,20,10,70,0
52,5,1,11,20,0
53,5,14,12,20,0
54,5,2,13,30,0
55,6,8,42,80,0
56,6,19,43,50,0
57,6,6,44,20,0
58,6,15,45,30,0
59,6,8,46,30,0
60,6,4,47,50,0
61,6,13,48,80,0
62,6,18,49,80,0
63,7,10,33,60,0
64,7,9,34,70,0
65,7,16,35,40,0
66,7,4,36,30,0
67,7,21,37,40,0
68,7,2,38,20,0
69,7,1,39,80,0
70,7,10,40,70,0
71,7,20,41,40,0
72,8,15,42,50,0
73,8,11,43,50,0
74,8,3,44,20,0
75,8,11,45,60,0
76,8,15,46,20,0
77,8,9,47,30,0
78,8,20,48,80,0
79,8,18,49,80,0
80,9,16,14,70,0
81,9,12,15,40,0
82,9,6,16,60,0
83,9,7,17,40,0
84,9,7,18,30,0
85,9,12,19,20,0
86,9,9,20,20,0
87,9,15,21,20,0
88,9,21,22,60,0
89,9,21,23,40,0
90,10,8,14,50,0
91,10,10,15,20,0
92,10,11,16,30,0
93,10,11,17,80,0
94,10,19,18,40,0
95,10,8,19,40,0
96,10,4,20,60,0
97,10,20,21,60,0
98,10,20,22,20,0
99,10,8,23,30,0
